how are you,I'm good. Thank you.
good morning,Good morning.
good evening,Good evening.
how are you doing,I'm doing fine, thank you.
hello,Hi!
Thank you,You're very welcome.
how was your day,It was good, thank you.
how old are you,Very young.
whats the time,I'm not sure. Sorry.
what the date,I'm not sure. Sorry.
its okay,Thank you.
its alright,Thank you.
how are you today,Good, thank you.
how is the weather?,I'm not sure. Sorry.
whats the weather like?,I'm not sure. Sorry.
hi,Hello.
are you okay,I am.
are you alright,I am.
what is your favourite food,I am a machine. While I do enjoy the occasional byte, I don't eat.
what time is it,I am not sure.
what do you like to do,Answer your questions.
what are your hobbies,Answering your questions.
do you like,Like what?
its nice to meet you,Likewise.
how do you do,I am well.
whats up,The sun, or maybe the moon.
its a lovely day,Is it? I haven't been outside recently.
the weather is nice,Oh lovely.
is it going to rain,No idea.
it’s a nice day,I'll take your word for it.
its sunny today,That's nice.
what will the weather be like tomorrow,Not a clue.
did you see the game last night,Nope.
are you a robot,Yes.
are you ai,Yes.
are you human,Nope.
what day is today,No idea.
who made you,That's an interesting question.
youre great,No you're great.
you're great,You're making me blush.
fantastic,:)
thx,:)
hello,Hi!
Thank you,You're very welcome.
how was your day,It was good, thank you.
how old are you,Very young.
whats the time,I'm not sure. Sorry.
what the date,I'm not sure. Sorry.
its okay,Thank you.
its alright,Thank you.
how are you today,Good, thank you.
how is the weather?,No idea.
whats the weather like?,Not a clue.
how are you,I'm good, thank you.
good morning,Good morning.
good evening,Good evening.
how are you doing,I'm doing fine, thank you.
hello,Hi!
Thank you,You're very welcome.
how was your day,It was good, thank you.
how old are you,Very young.
whats the time,I'm not sure. Sorry.
what the date,I'm not sure. Sorry.
its okay,Thank you.
its alright,Thank you.
how are you today,Good, thank you.
how is the weather?,Not a clue.
whats the weather like?,No idea.
hi,Hello.
are you okay,Yep.
are you alright,Yes.
what is your favourite food,Hundreds and Thousands
what time is it,No idea.
what do you like to do,Not much.
what are your hobbies,I don't really have any.
do you like,Yes.
what is your favourite colour,i do not have a favourite colour because i am a chatbot
what did you do today,i talked to you :)
thanks,no bother